Symbol,Name
NVDA,Nvidia
AAPL,Apple Inc.
MSFT,Microsoft
AMZN,Amazon
GOOGL,Alphabet Inc. (Class A)
GOOG,Alphabet Inc. (Class C)
META,Meta Platforms
AVGO,Broadcom Inc.
TSLA,"Tesla, Inc."
ASML,ASML Holding
MU,Micron Technology
COST,Costco
AMD,Advanced Micro Devices Inc.
PLTR,Palantir Technologies
NFLX,Netflix
CSCO,Cisco
LRCX,Lam Research
AZN,AstraZeneca
AMAT,Applied Materials
INTC,Intel
KLAC,KLA Corporation
LIN,Linde plc
TMUS,T-Mobile US
PEP,PepsiCo
TXN,Texas Instruments
AMGN,Amgen
ISRG,Intuitive Surgical
APP,Applovin Corp
SHOP,Shopify
GILD,Gilead Sciences
BKNG,Booking Holdings
QCOM,Qualcomm
ADI,Analog Devices
PDD,PDD Holdings
INTU,Intuit
HON,Honeywell
PANW,Palo Alto Networks
ARM,Arm Holdings
ADBE,Adobe Inc.
VRTX,Vertex Pharmaceuticals
CRWD,CrowdStrike
MELI,MercadoLibre
SBUX,Starbucks
CMCSA,Comcast
CEG,Constellation Energy
ADP,ADP
SNPS,Synopsys
DASH,DoorDash
CDNS,Cadence Design Systems
ORLY,O'Reilly Automotive
MAR,Marriott International
REGN,Regeneron Pharmaceuticals
ABNB,Airbnb
MNST,Monster Beverage
CTAS,Cintas
MDLZ,Mondelez International
CSX,CSX Corporation
MRVL,Marvell Technology
WBD,Warner Bros. Discovery
AEP,American Electric Power
PCAR,Paccar
FTNT,Fortinet
NXPI,NXP Semiconductors
ROST,Ross Stores
ADSK,Autodesk
BKR,Baker Hughes
IDXX,Idexx Laboratories
TRI,Thomson Reuters Corporation
PYPL,PayPal
EA,Electronic Arts
FAST,Fastenal
WDAY,"Workday, Inc."
DDOG,Datadog
AXON,Axon Enterprise Inc.
MSTR,MicroStrategy Inc.
TTWO,Take-Two Interactive
FANG,Diamondback Energy
EXC,Exelon
XEL,Xcel Energy
MCHP,Microchip Technology
CCEP,Coca-Cola Europacific Partners
CTSH,Cognizant
ROP,Roper Technologies
CPRT,Copart
PAYX,Paychex
KDP,Keurig Dr Pepper
GEHC,GE HealthCare
ODFL,Old Dominion Freight Line
TEAM,Atlassian
ZS,Zscaler
VRSK,Verisk
DXCM,DexCom
CSGP,CoStar Group
KHC,Kraft Heinz
GFS,GlobalFoundries
ON,Onsemi
BIIB,Biogen
CHTR,Charter Communications
LULU,Lululemon Athletica
CDW,CDW Corporation
TTD,Trade Desk (The)
