Symbol,Name
GS,"The Goldman Sachs Group, Inc."
MSFT,Microsoft Corporation
CAT,Caterpillar Inc.
HD,"The Home Depot, Inc."
SHW,Sherwin-Williams
V,Visa Inc.
MCD,McDonald's Corporation
AXP,American Express Company
JPM,JPMorgan Chase & Co.
AMGN,Amgen Inc.
TRV,"The Travelers Companies, Inc."
UNH,UnitedHealth Group Incorporated
IBM,International Business Machines Corporation
CRM,"Salesforce, Inc."
AAPL,Apple Inc.
BA,The Boeing Company
AMZN,"Amazon.com, Inc.amazon.com"
HON,Honeywell International Inc.
NVDA,Nvidia
JNJ,Johnson & Johnson
CVX,Chevron Corporation
PG,The Procter & Gamble Company
MMM,3M Company
DIS,The Walt Disney Company
WMT,Walmart Inc.
MRK,"Merck & Co., Inc."
NKE,"Nike, Inc."
CSCO,"Cisco Systems, Inc."
KO,The Coca-Cola Company
VZ,Verizon Communications Inc.
